year,ageband,pop
2018,0-15,14528
2030,0-15,13165
2018,16-44,28859
2030,16-44,29621
2018,45-64,22986
2030,45-64,22577
2018,65-74,8372
2030,65-74,10343
2018,75-84,4916
2030,75-84,6901
2018,85+,1914
2030,85+,2611
